iter	RMSE
0	11469.32009
1	10717.72657
2	9968.622175
3	9303.152729
4	8725.099686
5	8200.253098
6	7697.658657
7	7241.673906
8	6838.340028
9	6467.531964
10	6186.502291
11	5919.657706
12	5670.365682
13	5454.26603
14	5276.298366
15	5113.566364
16	4974.086627
17	4848.246564
18	4743.579537
19	4641.788744
20	4559.047558
21	4486.854174
22	4443.701376
23	4385.183625
24	4321.686159
25	4267.879022
26	4229.551425
27	4193.853834
28	4149.400889
29	4124.668712
30	4095.752036
31	4066.832471
32	4046.129742
33	4018.347434
34	3997.468892
35	3976.644074
36	3956.252155
37	3941.917928
38	3926.421493
39	3914.445557
40	3902.079867
41	3892.345573
42	3883.236663
43	3870.051588
44	3857.847316
45	3844.743096
46	3835.430949
47	3819.378078
48	3811.791607
49	3798.860415
50	3788.973801
51	3779.923411
52	3774.648197
53	3759.514589
54	3749.70986
55	3738.741947
56	3731.295569
57	3725.29146
58	3716.252464
59	3702.568302
60	3695.496061
61	3688.061679
62	3666.003604
63	3654.039783
64	3646.488775
65	3636.950452
66	3628.146298
67	3621.117328
68	3614.392745
69	3602.578571
70	3592.447983
71	3586.821793
72	3585.181016
73	3575.239695
74	3568.638671
75	3563.650182
76	3556.100584
77	3549.49179
78	3536.611515
79	3533.858741
80	3524.951267
81	3522.008289
82	3516.92498
83	3504.82421
84	3502.443808
85	3495.3778
86	3489.144294
87	3486.555137
88	3482.856553
89	3480.189559
90	3470.052216
91	3455.783491
92	3450.789911
93	3447.366963
94	3442.568915
95	3439.231447
96	3436.380912
97	3434.782961
98	3428.798929
99	3424.545639
100	3421.350512
101	3416.479897
102	3404.900836
103	3394.895783
104	3394.41345
105	3385.588038
106	3376.726466
107	3370.261683
108	3364.722789
109	3358.602295
110	3349.835838
111	3345.92399
112	3337.027072
113	3333.540374
114	3331.090598
115	3323.694871
116	3320.970393
117	3313.245191
118	3305.27572
119	3303.231711
120	3301.032902
121	3295.581064
122	3287.509658
123	3278.414031
124	3277.971846
125	3276.533849
126	3273.459597
127	3263.569111
128	3253.504492
129	3247.504815
130	3242.816311
131	3229.94808
132	3220.952109
133	3218.214908
134	3206.681928
135	3206.081751
